appid,game_title,tags,tag_count
1150440,Aliens: Dark Descent,"Strategy, Action, Tactical, RTS, Sci-fi, Aliens, Real Time Tactics, Singleplayer, Dark, Horror, Action-Adventure, Survival, Top-Down, Space, 3D, Violent, Stealth, Isometric, Combat, Top-Down Shooter",20
1150690,OMORI,"Psychological Horror, Story Rich, Pixel Graphics, Indie, Great Soundtrack, RPG, Multiple Endings, RPGMaker, Hand-drawn, Horror, 2D, Colorful, Turn-Based, Atmospheric, Party-Based RPG, Exploration, JRPG, Stylized, Anime, Fantasy",20
1151340,Fallout 76,"Open World, Multiplayer, Post-apocalyptic, RPG, Dark Comedy, Capitalism, Survival, Base Building, Co-op, Shooter, MMORPG, Horror, Exploration, FPS, Singleplayer, Gore, Violent, Atmospheric, Great Soundtrack, Early Access",20
1154030,Titan Quest II,"Early Access, RPG, Action RPG, Hack and Slash, Action, Mythology, Dungeon Crawler, Open World, 3D, Colorful, Character Customization, Realistic, Historical, Crafting, Co-op, Inventory Management, Multiplayer, Loot, Singleplayer, Online Co-Op",20
1157390,King Arthur: Knight's Tale,"Tactical RPG, Turn-Based Tactics, Dark Fantasy, RPG, Turn-Based Combat, Choices Matter, Grid-Based Movement, Singleplayer, Turn-Based, Roguelite, Strategy, PvE, Medieval, Strategy RPG, Turn-Based Strategy, Base Building, 3D, CRPG, Isometric, Mythology",20
1158310,Crusader Kings III,"Strategy, Medieval, Grand Strategy, Simulation, RPG, Historical, Management, Character Customization, Life Sim, Sandbox, RTS, Choices Matter, War, Singleplayer, Economy, Political, Moddable, 4X, Multiplayer, Real-Time with Pause",20
1158850,The Great Ace Attorney Chronicles,"Visual Novel, Adventure, Detective, Anime, 3D, Mystery, Text-Based, Story Rich, Drama, Choose Your Own Adventure, Steampunk, Historical, Retro, Conversation, Singleplayer, Great Soundtrack, Puzzle, Choices Matter, Comedy, Point & Click",20
1172380,STAR WARS Jedi: Fallen Order™,"Action-Adventure, Souls-like, Third Person, Sci-fi, Open World, Story Rich, Swordplay, Exploration, Action, Platformer, Space, RPG, Puzzle, Fighting, Adventure, Metroidvania, Fantasy, Atmospheric, Hack and Slash, Family Friendly",20
1182620,Impostor Factory,"Story Rich, Emotional, Pixel Graphics, Adventure, RPG, 2D, Singleplayer, Top-Down, Atmospheric, Psychological Horror, Comedy, Mystery, Narrative, Interactive Fiction, Lovecraftian, Linear, Cute, Funny, Retro, JRPG",20
1182900,A Plague Tale: Requiem,"Adventure, Action, Action-Adventure, Exploration, Cinematic, Third Person, Interactive Fiction, Female Protagonist, Atmospheric, Realistic, 3D, Dark, Alternate History, Emotional, Medieval, Drama, Singleplayer, Historical, Mystery, Narration",20
1184050,Gears Tactics,"Strategy, Turn-Based Tactics, Turn-Based, Gore, Tactical, Violent, Singleplayer, RPG, Character Customization, Isometric, Multiplayer, Sci-fi, Turn-Based Strategy, Turn-Based Combat, Tactical RPG, RTS",16
1184370,Pathfinder: Wrath of the Righteous - Enhanced Edition,"Singleplayer, Choices Matter, Story Rich, CRPG, Turn-Based Combat, Fantasy, Class-Based, Dark Fantasy, RPG, PvE, Adventure, Action RPG, Action, Open World, Sexual Content, Violent, Survival, Dark, Board Game, Dungeon Crawler",20
1207650,Suzerain,"Visual Novel, Choose Your Own Adventure, Political, Political Sim, Interactive Fiction, Choices Matter, Text-Based, Story Rich, Politics, Multiple Endings, RPG, Strategy RPG, Point & Click, Alternate History, Drama, Singleplayer, Adventure, Old School, Narrative, Hand-drawn",20
1222140,Detroit: Become Human,"Choices Matter, Story Rich, Multiple Endings, Cinematic, Singleplayer, Emotional, Robots, Futuristic, Sci-fi, Adventure, Beautiful, Atmospheric, Great Soundtrack, Third Person, Replay Value, Dynamic Narration, Cyberpunk, Narration, Violent, Female Protagonist",20
1222670,The Sims™ 4,"Life Sim, Free to Play, Character Customization, Building, Romance, Simulation, Sandbox, Singleplayer, Dating Sim, Relaxing, Casual, Realistic, Funny, Family Friendly, Cute, Immersive Sim, Fantasy, Adventure, Cartoony, Nudity",20
1222700,A Way Out,"Online Co-Op, Co-op, Split Screen, Story Rich, Local Co-Op, Multiplayer, Action-Adventure, Action, Adventure, Crime, Third Person, Emotional, Conversation, Atmospheric, Nudity, Cinematic, Sexual Content, Violent, Singleplayer, Indie",20
1225560,Unravel,"Action, Puzzle, Adventure, Singleplayer, Co-op, Family Friendly, Atmospheric, Colorful, Platformer, Puzzle Platformer, Beautiful, Great Soundtrack, Multiplayer, Side Scroller, Cute, Indie, 2D Platformer, Controller, Physics",19
1229240,Chained Echoes,"RPG, Pixel Graphics, Turn-Based, Indie, JRPG, Turn-Based Combat, Retro, 2D, Exploration, Story Rich, Mechs, Party-Based RPG, Fantasy, Open World, Anime, Singleplayer, Great Soundtrack, Adventure, Character Customization, Old School",20
1229380,Everhood,"Great Soundtrack, Music, Story Rich, Psychedelic, Singleplayer, Bullet Hell, 2D, Pixel Graphics, Surreal, RPG, Rhythm, Indie, Colorful, 2.5D, Action-Adventure, Multiple Endings, Action, Adventure, Level Editor, Epic",20
1233260,FAIRY TAIL,"RPG, Anime, JRPG, Turn-Based Combat, 3D, Fantasy, Singleplayer, Turn-Based, Action, Nudity, Magic, Sexual Content, Adventure, Story Rich, Mature, Multiplayer, Cute, Party-Based RPG, Co-op, Open World",20
1237320,Sonic Frontiers,"Great Soundtrack, Open World, Adventure, Action, 3D Platformer, Exploration, Singleplayer, Action-Adventure, Fast-Paced, 3D, Third Person, Platformer, Story Rich, Combat, Lore-Rich, Colorful, Fantasy, Action RPG, Comedy, Mature",20
1237970,Titanfall® 2,"FPS, Mechs, Multiplayer, Shooter, Singleplayer, Action, Parkour, Sci-fi, First-Person, Futuristic, PvP, Military, Combat, Fast-Paced, Team-Based, Time Travel, Hero Shooter, Violent, Co-op, Gore",20
1238820,Battlefield 3™,"Action, Shooter, Multiplayer, Singleplayer, FPS, First-Person, Team-Based, PvP, Tactical, Destruction, Atmospheric, War, Military, Violent, Co-op, Story Rich, Controller, Online Co-Op, Co-op Campaign, Open World",20
1240210,There Is No Game: Wrong Dimension,"Indie, Adventure, Point & Click, Puzzle, Funny, Pixel Graphics, Casual, Comedy, Story Rich, Singleplayer, 2D, Narration, Parody, Interactive Fiction, Romance, Great Soundtrack, Simulation, Remake, RPG, Action",20
1244090,Sea of Stars,"Pixel Graphics, JRPG, Turn-Based Combat, RPG, Local Co-Op, Party-Based RPG, Story Rich, Adventure, 2D, Singleplayer, Fantasy, Indie, Lore-Rich, Retro, Co-op, Exploration, Funny, Multiplayer, Nostalgia, Emotional",20
1245620,ELDEN RING,"Souls-like, Open World, Dark Fantasy, RPG, Difficult, Action RPG, Multiplayer, Third Person, Fantasy, Singleplayer, Online Co-Op, Action, Co-op, Atmospheric, PvP, Great Soundtrack, Violent, 3D, Character Customization, Family Friendly",20
1249040,American Arcadia,"Singleplayer, Point & Click, Third Person, 2D, Indie, Simulation, Horror, Side Scroller, Satire, Story Rich, Atmospheric, Thriller, First-Person, Adventure, Cinematic, Emotional, Visual Novel, Cyberpunk, Sci-fi, Exploration",20
1249970,Test Drive Unlimited Solar Crown,"Racing, Open World, Driving, Exploration, 3D, Multiplayer, Realistic, Beautiful, Modern, First-Person, Simulation, Third Person, Automobile Sim, Massively Multiplayer, Singleplayer, Stylized, Gambling, Arcade, Character Customization, Online Co-Op",20
1260320,Party Animals,"Multiplayer, Funny, Casual, Cute, Party Game, Co-op, Fighting, Action, PvP, Party, Online Co-Op, Family Friendly, Local Multiplayer, Physics, 4 Player Local, 3D Fighter, Local Co-Op, Team-Based, Indie, Action-Adventure",20
